sdss_id,teff,logg,fe_h,mg_h,v_macro,snr,g_mag,bp_mag,rp_mag,plx,e_plx,gaia_dr3_source_id
60569523,5821.642,4.5422635,-0.072578855,-0.12049646,6.071129,290.9071,11.213104,11.105319,10.340195,-9999.0,-9999.0,1331384306358099328
60569558,5770.352,4.5305357,0.30457887,0.19513997,5.2859015,166.96039,11.935785,12.286986,11.422644,3.4815848,0.009739834,1331389322881218560
60569722,5666.137,4.7060924,0.14031018,0.038751427,8.984167,121.003845,12.374169,12.744076,11.839792,3.6700225,0.009987285,1331409384672079488
60569733,5664.9214,4.536219,-0.21618661,-0.119644284,4.322896,124.87704,12.087973,12.420693,11.589086,3.7471533,0.009537897,1331411691070946048
60569753,4076.1711,4.828903,0.07070476,-0.085314386,1.5312544,176.59515,11.567344,12.518671,10.604472,20.076319,0.0131156845,1331414336770746112
60569902,6188.0293,4.0592203,-0.24275053,-0.22000393,10.036214,261.84662,10.476692,10.733905,10.061898,3.186935,0.011826512,1331426637557290240
60569914,6168.1045,4.1101227,0.11450545,-0.00042931965,8.086061,259.1868,10.742139,11.00613,10.321429,2.724833,0.009848932,1331427668349394816
60569932,5269.4067,4.6467876,0.15511437,0.15744722,5.286376,184.27069,12.009043,12.456826,11.402067,5.3750005,0.00911354,1331429626854349696
60570006,5934.7246,4.5094495,-0.11125173,-0.1985655,5.4495645,113.46882,12.548021,12.844617,12.089057,2.4795072,0.010256794,1331440037855211264
60570038,5436.4727,4.382899,-0.13070273,0.018039057,6.069748,122.40253,12.117003,12.485195,11.5832205,3.9466841,0.009765475,1331445501053615232
60570165,6356.2397,4.2332826,-0.20885734,-0.3538057,29.994232,526.77814,8.76735,8.974672,8.407338,8.4816885,0.0143548045,1331462302965590400
60570175,5085.28,4.7111773,0.09555303,0.17192818,3.539844,103.179794,13.01218,13.460361,12.407996,3.4954545,0.023763997,1331463058879824896
60570223,5417.297,4.26799,-0.47513977,-0.29292503,6.773624,95.87647,11.293029,11.626752,10.79203,5.828459,0.015312222,1331471958052088448
60570248,5639.3,4.654847,-0.17889541,-0.15002577,6.971711,183.41061,11.660672,11.965899,11.151009,3.4479272,0.40653786,1331474775550684032
60570289,6092.304,4.297869,-0.4545955,-0.41795856,3.5892189,120.55619,11.953555,12.214688,11.532554,2.299412,0.010957292,1331480307468514176
60570295,5551.4526,4.162195,-0.4541139,-0.23166238,11.995095,95.45697,12.609399,12.932561,12.120711,1.6604561,0.010372176,1331481608842971392
60570363,5866.0586,4.2132554,-0.32678294,-0.2824428,10.941562,93.36603,12.697377,12.9659195,12.268496,1.4534292,0.010767255,1331492883132832512
60570401,5271.9907,4.524254,-0.38044345,-0.0069826553,5.1540966,141.49176,12.1759405,12.583433,11.600677,4.933892,0.008965713,1331496624048636800
60570413,4205.8657,4.816804,-0.2329944,-0.21014199,20.652079,143.61943,13.658708,14.626799,12.675972,7.3542666,0.021233533,1331497556057754112
60570420,4748.0312,4.6065397,0.06865731,0.11086049,5.103244,131.67473,12.819777,13.338885,12.150476,4.7361054,0.011152022,1331498827367574784
60570450,5575.273,4.460798,-0.6508951,-0.37401423,7.1254325,89.96935,12.933713,13.142078,12.312061,1.9453872,0.03533322,1331502740082065792
60570469,5744.6562,4.4403324,-0.35509777,-0.09993261,0.2999229,125.61292,12.364283,12.682422,11.880054,2.4836156,0.010552253,1331505076544274688
60570518,5331.012,4.42958,-0.7052128,-0.40345255,7.60566,132.5515,12.303822,12.680502,11.742059,4.2509665,0.07562619,1331513327177178880
60570545,5891.0347,4.1411986,-0.0014873245,-0.020692978,5.6434207,146.87485,12.221136,12.539084,11.73653,1.8533416,0.009021473,1331518030164799104
60570553,5564.4404,4.1051044,-0.6651339,-1.269742,29.996132,185.1098,11.586169,11.74662,10.982371,0.96666473,0.20360263,1331519404554333312
60570562,5874.1387,4.287026,-0.24200408,-0.21709244,0.59935904,282.18774,10.601835,10.897323,10.141179,5.0318284,0.010531142,1331521504794632320
60570581,5719.066,4.1264043,-0.43840882,-0.5105838,29.994774,99.699814,13.2486105,13.736016,12.597174,0.38094026,0.009353128,1331524287933449984
60570585,5638.921,4.5502415,-0.51189715,-0.12266672,0.6956702,96.471466,12.806929,13.151009,12.295237,2.7873304,0.009777709,1331524631530830080
60570588,5486.006,4.5149903,-0.24882586,-0.21159784,7.845075,151.35455,12.185571,12.523766,11.67674,2.7147102,0.017975798,1331524695954039424
60570613,5714.3037,4.1410675,-0.078160346,-0.09880911,2.4415631,142.0052,12.111217,12.432916,11.626876,2.202921,0.009020979,1331529403238192768
60570639,5343.699,4.6020465,-0.053540085,-0.035626538,6.5295997,165.34868,11.787039,12.187778,11.220345,5.5878925,0.010530774,1331532018874675840
60570737,5554.8574,4.51144,0.009002082,0.014283625,1.104812,138.96599,12.264309,12.636174,11.728674,3.5899901,0.010925318,1331550985450191872
60570775,5847.804,4.326712,-0.09715885,-0.11118732,6.6511765,120.57604,12.471767,12.7904415,11.987617,1.5891035,0.026428875,1331556036331789952
60570792,4421.4067,4.6069474,0.13826919,0.122904785,0.44737494,109.28477,13.426771,14.064641,12.665513,4.6197453,0.011436149,1331558785110863360
60570798,4168.663,4.4269776,-0.72919613,-0.30496007,0.12654467,149.44662,13.00344,13.68584,12.201926,7.758692,0.014556005,1331559472305722368
60570900,4873.3433,4.6904516,-0.1699883,-0.21832207,6.6301475,236.61757,12.881268,12.815385,11.717376,-9999.0,-9999.0,1331575960684401536
60570911,6224.3853,4.108789,-0.30261815,-0.12264834,10.153827,64.061424,12.441794,12.70696,12.016285,1.4324286,0.009848269,1331577820406020608
60570965,5717.731,4.5642457,-0.1396508,-0.13620977,6.8189855,193.75337,11.687846,11.966012,11.157773,2.7606628,0.039609134,1331583661561968128
60570996,5494.8804,4.1908064,-0.6919851,-0.43357128,5.9788995,165.96378,11.584025,11.873171,11.126671,4.1097336,0.012527932,1331588879946037760
60570998,5085.786,4.9848785,-0.3071846,0.0074719954,5.3027678,76.00714,13.660941,13.988178,12.862775,2.9998562,0.016906846,1331589365276851968
60571023,5871.1367,4.437304,0.30310762,0.25639203,5.7082224,518.03644,11.428623,11.770601,10.926825,4.111508,0.013744481,1331593900763440896
60571039,5597.3755,4.1379604,0.1694086,0.1736489,6.134302,1172.5625,9.424196,9.784312,8.896333,7.727715,0.011379081,1331596477743821824
60571085,6948.814,4.6779647,-0.2983513,-0.52306134,29.97735,389.1989,10.576785,10.779945,10.227408,2.7914836,0.06422241,1331604101310122240
60571137,5674.084,4.58791,-0.055215437,-0.008186876,1.8340988,166.20451,11.7824,12.121261,11.276367,4.0504107,0.009407039,1331610664020153088
60571151,4083.5886,4.718036,0.1250425,0.13856737,2.4703212,88.57753,14.049106,14.915871,13.135158,5.5801663,0.012615086,1331614447886994048
60571191,4578.0635,4.5063725,-0.26700392,-0.25996292,18.906982,85.98314,13.921472,14.58217,13.041816,3.7103276,0.021757325,1331620254682793728
60571244,4139.6553,4.4489245,0.06798394,0.06573901,4.4133177,157.99254,12.859249,13.65733,11.988219,8.014334,0.012032884,1331629394373314048
60571245,6309.614,4.0004296,0.037390202,-0.15565892,29.99707,1168.1979,9.250455,9.501281,8.839616,3.2763772,0.033161603,1331629669251221504
60571263,5167.732,4.2369037,-0.042028513,-0.028644519,4.9954925,82.06496,12.973917,13.369147,12.417624,2.7832878,0.011550599,1331632246231550208
