sdss_id,reduced_chi2
55346330,8.4928
55258250,8.4739
56059455,8.4718
55145083,8.4569
55276564,8.4479
55075530,8.4429
55748729,8.4371
54624385,8.4351
55123203,8.4268
55031259,8.4248
54870958,8.4178
55748786,8.4173
54867912,8.3941
54504514,8.3938
55004712,8.3924
55080886,8.3920
54637493,8.3824
54955929,8.3803
55348161,8.3764
55226015,8.3602
54807044,8.3568
55258052,8.3455
54782786,8.3335
55921867,8.3253
54755800,8.3160
55938537,8.2907
55766257,8.2770
54792043,8.2736
55938356,8.2564
54644679,8.2371
54401854,8.2228
54482583,8.2035
54917032,8.1948
55747897,8.1875
54775699,8.1811
54783218,8.1804
54395855,8.1663
54394250,8.1433
55938618,8.1385
54563825,8.1344
55314009,8.1332
54566383,8.1322
54998673,8.1288
54843492,8.1286
54901730,8.1240
55894882,8.1212
55036320,8.1197
