sdss_id,n_visits_rv,dv_rad_max,v_rad_std,v_rad_median,mjd_span
61284006,2,0.010,0.005,-28.767,425.00
61284039,2,0.154,0.077,-43.535,1.00
61284119,13,23.183,7.411,-25.936,431.00
61284156,13,2.722,0.689,16.595,431.00
61284314,31,4.684,2.011,-41.333,749.00
61284496,2,0.341,0.170,-18.253,1.00
61284626,31,1.018,0.222,-62.186,749.00
61284778,1,,,-25.513,
61284781,5,70.486,26.978,-15.623,38.00
61284883,43,6.770,1.808,-41.943,1163.00
61285050,14,0.573,0.179,-35.638,431.00
61285125,3,10.008,4.385,-51.398,1440.00
61285129,1,,,-25.344,
61285200,1,,,-37.568,
61285216,2,2.525,1.262,-11.913,339.00
61285251,39,18.601,6.305,-51.179,1163.00
61285307,30,2.521,0.394,-102.242,749.00
61285383,2,1.450,0.725,24.040,1.00
61285656,2,0.148,0.074,-11.313,425.00
61285765,1,,,8.663,
61285771,2,45.548,22.774,-14.993,425.00
61285802,2,0.246,0.123,-226.387,425.00
61285855,3,0.138,0.061,-22.720,771.00
61285870,3,17.809,8.384,-29.697,771.00
61285888,2,0.221,0.110,-45.104,1.00
61286004,3,0.247,0.104,-6.430,771.00
61286120,2,1.813,0.907,-26.986,425.00
61286426,6,0.155,0.055,-20.736,2298.00
61286634,1,,,-31.123,
61286682,2,0.210,0.105,-16.823,425.00
61287068,2,0.083,0.042,-18.503,1.00
61287115,8,1.174,0.358,-2.176,1862.00
61287185,8,42.460,12.575,-3.223,2298.00
61287295,5,3.040,0.994,-12.927,1437.00
61287596,8,154.372,50.540,22.963,1534.00
61287640,1,,,-16.196,
61287793,1,,,-63.091,
61287833,31,14.858,2.213,17.373,749.00
61287945,14,26.455,8.116,11.213,2923.00
61288054,2,2.376,1.188,-33.891,1.00
61288586,5,5.810,2.698,-17.441,57.00
61288777,3,0.059,0.026,-11.148,0.00
61288840,14,0.603,0.147,-0.855,58.00
61288957,13,0.269,0.066,-6.329,2923.00
61289005,18,19.779,4.815,-3.036,2513.00
61289190,9,0.138,0.049,-60.052,58.00
