sdss_id,gaia_dr3_source_id,ra,dec
54789498,458368603583940352,34.6997376,57.0672705
54789565,458369496937210752,34.5960345,57.0101962
54789617,458370940045865088,34.4576862,57.0904276
54789690,458371661600617088,34.6679725,57.1008668
54789837,458372722447315200,34.5822597,57.1461525
54789848,458372795471717888,34.6243015,57.1508731
54790136,458374719617270272,34.7929582,57.1271027
54790196,458374891415941120,34.8644403,57.1382312
54790688,458379014584349696,34.6365772,57.2110197
54790736,458379701779206400,34.7000708,57.2855186
54791013,458395919573438208,36.1357988,57.0124505
54791435,458407601884432384,35.5404562,57.1173020
54791693,458413335654780544,35.7907638,57.1708606
54791895,458421139622398976,36.4784542,57.2401992
54792063,458430446804459904,36.4373728,57.3201127
54792185,458436773303299200,36.0093146,57.3539168
54792631,458453334698292096,35.4308273,57.1257728
54792730,458454709081938048,35.5102999,57.1556765
54793070,458461576727427712,35.5706512,57.2719287
54793074,458461615395187200,35.5947479,57.2847208
54793417,458477970630324224,34.9192496,57.5022490
54793596,458488003675180160,35.7990255,57.4720411
54793614,458489068827059328,35.7076787,57.5117110
54794503,458536450902467200,33.9920897,57.0066600
54794615,458542528275446016,33.7770656,56.9265204
54795022,458562083268100736,34.4225884,57.2511370
54795174,458569298815368064,34.6245658,57.3665099
54795180,458569642410661120,34.7581880,57.4055124
54795282,458576445638701824,34.0646175,57.3237763
54795685,458601734406794368,33.2135853,57.3644971
54796247,458631799175039872,33.7759881,57.5876977
54796369,458639701918461056,34.0184638,57.7449044
54796382,458640663991131904,33.9141858,57.7633142
54796819,458667911260407936,34.6259984,57.5257362
54797984,458731133179515008,34.8615458,58.3741146
54798353,458748862805170816,34.1781790,58.2118140
54798385,458751027468923904,34.2620394,58.2945257
54799253,458796897720427648,34.2817086,58.6485150
54799652,458818166396321024,36.9321151,57.7812606
54800325,458855240554574080,37.4113245,58.2251206
54801166,458898563884819200,35.6438380,58.2034640
54801296,458905955528942464,36.0046997,58.3238527
54804634,459070779191870080,37.2589368,59.2853215
54806413,459159805276412032,34.9552825,58.7606499
54807044,459189938766650240,34.7520256,59.1975111
54808636,459263125008371712,36.7818556,59.4056191
54809647,459306757571754880,35.8957801,59.5506077
54810435,459340365699412992,36.1668747,59.9916489
54810911,459362420351756288,36.2050362,60.2933979
54811027,459376580861840256,45.2748365,54.6106800
54813048,459617202107889152,46.0513189,56.0916064
54813439,459659224068616192,44.3059225,55.4381931
54814097,459733922139471488,43.6323500,55.8958486
54814744,459801439027092224,45.4427353,56.2945154
54815155,459845694369833728,45.3462937,56.6490876
54815164,459846965680234880,45.1197617,56.5986312
54815199,459851535526419840,45.5732467,56.7037758
54816718,460028831774106880,46.5013542,56.7817869
54816931,460054739016821248,46.6744808,56.9309010
54817505,460133628974109056,48.5276126,57.4817642
54817615,460148953417610112,47.4999767,57.2825080
54818558,460262409276830848,46.8386858,57.4607360
54820047,460419467639775360,47.4141306,58.3362635
54822140,460647444504563072,44.1306861,56.9987504
54824050,460856695311888896,41.8924161,57.4115952
54824272,460877723471136640,41.2361234,57.6521615
54824300,460879407098302976,41.3263225,57.6916065
54825241,460970219888034304,43.1670830,58.1535720
54825892,461034747475735552,43.1335602,58.5417276
54827454,461188640442157824,45.0868745,58.6229596
54828985,461341030185342592,44.0379574,58.3634874
54830484,461475544261458304,43.7541471,59.5222255
54832431,461642090209206400,48.6929712,57.7491111
54832962,461716375963426048,48.7462108,58.2387980
54833485,461773859806900480,50.5006697,58.5545695
54833794,461805264608251008,51.0645005,58.8578267
54833894,461816702099799552,50.7436429,58.9837512
54834111,461837803281103872,49.7493798,58.8002172
54834231,461848764037528576,49.4681737,58.7953115
54834480,461871304026598016,50.2534908,59.1149911
54834737,461897451787259776,50.2181664,59.4881165
54835169,461948441637646336,49.1935758,58.9663286
54836493,462081035868709248,49.7183218,59.4296347
54836531,462085433915147136,50.1593549,59.5308750
54836727,462103575856902144,49.9920253,59.7616713
54837195,462146491170586240,48.8658468,60.0174039
54837317,462159994548529664,49.5536463,59.9900937
54837450,462171711219172352,49.2895548,60.1696006
54837996,462224659575564928,52.1908696,59.5950697
54838364,462265852603752832,51.1197071,59.6431215
54839036,462329113179338752,52.6115048,59.9279481
54839130,462337977991635200,52.9143196,60.1160158
54839660,462379518916034816,53.3359299,60.4941413
54840033,462410992437419776,51.9647508,60.3103855
54840126,462420093466857856,52.4332691,60.5089734
54840718,462476894414261888,50.6580460,60.0050254
54840777,462482838650572288,50.2955275,60.0057711
54840920,462492871692382208,50.7463710,60.2515283
54840949,462495070715691520,50.4627743,60.2433563
54841148,462513350096850432,51.2454014,60.4592383
54841728,462568841073640704,50.1296525,60.7845602
54841773,462574476070811136,50.4543366,60.5989692
54843210,462736619674908160,52.1045250,61.6317358
54843633,462778882153535488,47.2312584,59.6038679
54844282,462844268736865792,46.8045069,59.8498159
54844630,462879865426497024,47.4321274,60.2385055
54844698,462887321488646656,48.2957838,59.7987238
54845090,462930065003274368,49.1764891,60.3108667
54845170,462937314908005376,49.1713897,60.5125845
54845285,462949611393604992,49.1422357,60.5858145
54846291,463056268321673856,46.2144476,60.2556398
54846830,463113988383816704,45.8909483,60.5846713
54847022,463121483103405056,45.3753849,60.4987358
54847138,463128148894214272,45.4881118,60.6117849
54847393,463158076226111744,45.8019243,60.9605102
54847662,463190340016225792,46.8265926,60.8174923
54847974,463222191498727936,47.7741963,61.1268125
54848573,463282527199144320,47.5380455,61.4400834
54848932,463309357855249792,49.4566468,60.5520789
54849138,463332177021713920,49.3354255,60.8692810
54849988,463424020601868416,49.9847500,61.5136504
54850696,463507136808843008,50.9817175,61.9504654
54853392,463753083817146752,49.4264076,62.3527201
54853530,463765105423686272,49.8753118,62.6798423
54853677,463778269505518976,50.9388676,62.7463697
54855149,463908492915516288,41.4451983,57.9307896
54855632,463946151189120896,40.2455999,57.9424379
54857341,464069571368650880,41.9371958,58.9127253
54857466,464079363895576704,42.1985325,59.1651386
54860147,464252090297864832,39.2333630,59.1092506
